3 4151
0.265560 0.093935 2.626206
0.253751 0.103901 2.572463
0.243729 0.114131 2.519948
0.235378 0.124616 2.468639
0.228593 0.135364 2.418517
0.223277 0.146391 2.369562
0.217868 0.163518 2.298288
0.215313 0.181462 2.229572
0.215405 0.200385 2.163389
0.217981 0.220478 2.099731
0.222925 0.241957 2.038606
0.230162 0.265065 1.980040
0.239657 0.290065 1.924081
0.251416 0.317247 1.870804
0.265482 0.346919 1.820312
0.281935 0.379419 1.772742
0.300889 0.415105 1.728278
0.322494 0.454361 1.687152
0.346933 0.497595 1.649660
0.374423 0.545236 1.616171
0.405211 0.597732 1.587146
0.439576 0.655538 1.563152
0.464623 0.697249 1.550286
0.491489 0.741652 1.540204
0.520276 0.788869 1.533177
0.551085 0.839011 1.529517
0.584019 0.892172 1.529572
0.619181 0.948425 1.533733
0.656671 1.007811 1.542435
0.696583 1.070330 1.556162
0.739001 1.135935 1.575444
0.783997 1.204512 1.600857
0.831622 1.275870 1.633026
0.881906 1.349725 1.672610
0.908045 1.387470 1.695399
0.934844 1.425679 1.720303
0.962297 1.464282 1.747412
0.990393 1.503199 1.776813
1.019119 1.542341 1.808596
1.048458 1.581605 1.842847
1.078390 1.620879 1.879648
1.108888 1.660040 1.919080
1.139922 1.698950 1.961217
1.171458 1.737460 2.006127
1.203453 1.775409 2.053870
1.235862 1.812621 2.104495
1.268630 1.848909 2.158042
1.301700 1.884071 2.214536
1.335003 1.917895 2.273987
1.368468 1.950156 2.336386
1.402012 1.980620 2.401707
1.435547 2.009042 2.469899
1.468978 2.035171 2.540891
1.502202 2.058749 2.614584
1.071767 0.008319 4.144763
1.029512 -0.018073 4.100613
0.987800 -0.041962 4.056099
0.946718 -0.063476 4.011372
0.906342 -0.082744 3.966566
0.866742 -0.099899 3.921798
0.827979 -0.115075 3.877171
0.790104 -0.128404 3.832772
0.753162 -0.140016 3.788677
0.717189 -0.150039 3.744949
0.682215 -0.158596 3.701641
0.648263 -0.165807 3.658794
0.615351 -0.171787 3.616444
0.583489 -0.176644 3.574617
0.552685 -0.180482 3.533333
0.522938 -0.183401 3.492606
0.466606 -0.186843 3.412855
0.414427 -0.187645 3.335388
0.366284 -0.186394 3.260181
0.322022 -0.183597 3.187177
0.281459 -0.179683 3.116298
0.244391 -0.175017 3.047454
0.210600 -0.169899 2.980550
0.179864 -0.164579 2.915491
0.151954 -0.159260 2.852186
0.126647 -0.154106 2.790549
0.103721 -0.149247 2.730500
0.082964 -0.144785 2.671964
0.064170 -0.140799 2.614876
0.047145 -0.137349 2.559175
0.031704 -0.134477 2.504806
0.017673 -0.132216 2.451720
0.004889 -0.130588 2.399874
-0.006798 -0.129608 2.349228
-0.017531 -0.129285 2.299746
-0.032123 -0.130048 2.227638
-0.045261 -0.132321 2.157982
-0.057303 -0.136116 2.090697
-0.068569 -0.141455 2.025712
-0.079347 -0.148369 1.962969
-0.089896 -0.156904 1.902418
-0.100454 -0.167128 1.844019
-0.111240 -0.179128 1.787744
-0.122464 -0.193016 1.733577
-0.134326 -0.208932 1.681515
-0.147024 -0.227042 1.631569
-0.160758 -0.247545 1.583771
-0.175730 -0.270672 1.538173
-0.192153 -0.296689 1.494854
-0.210253 -0.325899 1.453926
-0.230269 -0.358645 1.415539
-0.252464 -0.395311 1.379892
-0.277118 -0.436324 1.347245
-0.304541 -0.482153 1.317929
-0.335068 -0.533305 1.292366
-0.369064 -0.590328 1.271086
-0.406926 -0.653793 1.254753
-0.434523 -0.699973 1.247014
-0.464160 -0.749451 1.242128
-0.495974 -0.802394 1.240429
-0.530105 -0.858959 1.242299
-0.566698 -0.919287 1.248174
-0.605895 -0.983490 1.258547
-0.647837 -1.051648 1.273973
