3 6342
-2.242435 -1.802704 4.876715
-2.231891 -1.686022 4.954160
-2.216498 -1.565608 5.021303
-2.196302 -1.442481 5.077877
-2.171394 -1.317679 5.123763
-2.141908 -1.192229 5.158984
-2.108017 -1.067135 5.183699
-2.069932 -0.943349 5.198198
-2.027894 -0.821762 5.202886
-1.982174 -0.703184 5.198271
-1.933068 -0.588336 5.184944
-1.880887 -0.477844 5.163562
-1.825958 -0.372229 5.134833
-1.768614 -0.271910 5.099493
-1.709193 -0.177205 5.058294
-1.648029 -0.088335 5.011984
-1.585454 -0.005429 4.961299
-1.521789 0.071469 4.906946
-1.457343 0.142388 4.849598
-1.392409 0.207423 4.789883
-1.327265 0.266725 4.728381
-1.262169 0.320492 4.665622
-1.197359 0.368959 4.602081
-1.133054 0.412388 4.538181
-1.069451 0.451064 4.474290
-1.006726 0.485284 4.410729
-0.945037 0.515353 4.347770
-0.884520 0.541579 4.285639
-0.825292 0.564265 4.224524
-0.767453 0.583711 4.164574
-0.711087 0.600206 4.105906
-0.656260 0.614028 4.048607
-0.603024 0.625442 3.992739
-0.551418 0.634701 3.938342
-0.501469 0.642040 3.885437
-0.453191 0.647680 3.834029
-0.406591 0.651829 3.784109
-0.361663 0.654677 3.735659
-0.318396 0.656400 3.688650
-0.276771 0.657161 3.643049
-0.236763 0.657109 3.598815
-0.198342 0.656381 3.555907
-0.161473 0.655099 3.514278
-0.126116 0.653377 3.473881
-0.092230 0.651317 3.434669
-0.059770 0.649011 3.396595
0.001062 0.643986 3.323674
0.056772 0.638873 3.254761
0.107767 0.634126 3.189527
0.154459 0.630110 3.127677
0.197254 0.627108 3.068951
0.236551 0.625341 3.013128
0.272734 0.624978 2.960020
0.306170 0.626146 2.909471
0.337208 0.628938 2.861358
0.366177 0.633422 2.815582
0.393384 0.639644 2.772073
0.431519 0.652295 2.710955
0.467222 0.668969 2.654748
0.796251 1.009322 2.396067
0.838789 1.062496 2.403803
0.883451 1.117577 2.420317
0.914390 1.155022 2.436483
0.946222 1.192766 2.456960
0.978893 1.230525 2.481893
1.012326 1.267982 2.511403
1.046420 1.304776 2.545587
1.081050 1.340511 2.584502
1.116063 1.374750 2.628163
1.151279 1.407024 2.676527
1.186491 1.436830 2.729488
1.221459 1.463645 2.786866
1.255921 1.486931 2.848395
1.289583 1.506148 2.913720
1.322129 1.520769 2.982387
1.353224 1.530297 3.053845
1.382517 1.534284 3.127440
1.409645 1.532346 3.202426
1.434246 1.524190 3.277972
1.455965 1.509625 3.353174
1.474462 1.488583 3.427081
1.489423 1.461132 3.498713
1.500571 1.427478 3.567091
1.507673 1.387972 3.631267
1.510552 1.343103 3.690356
1.509092 1.293487 3.743558
1.503246 1.239846 3.790193
1.493036 1.182989 3.829717
1.478554 1.123783 3.861737
1.459966 1.063122 3.886019
1.437498 1.001896 3.902489
1.411439 0.940966 3.911226
1.382126 0.881136 3.912448
1.349938 0.823132 3.906495
1.315284 0.767585 3.893805
1.278590 0.715026 3.874896
1.240293 0.665874 3.850336
1.200826 0.620442 3.820725
1.160614 0.578939 3.786671
1.120062 0.541482 3.748777
1.079548 0.508100 3.707623
1.039424 0.478754 3.663757
1.000007 0.453344 3.617689
0.961578 0.431724 3.569880
0.924383 0.413713 3.520751
0.888633 0.399108 3.470671
0.854503 0.387690 3.419968
0.822137 0.379236 3.368927
0.791645 0.373523 3.317795
0.763114 0.370336 3.266785
0.736603 0.369469 3.216078
0.712150 0.370732 3.165831
0.689774 0.373948 3.116179
0.669479 0.378961 3.067236
0.651254 0.385630 3.019104
0.635079 0.393833 2.971870
0.614594 0.408790 2.902875
0.598534 0.426687 2.836313
0.586760 0.447319 2.772399
0.762405 0.939087 2.299361
0.800102 0.997184 2.301239
0.841127 1.057631 2.311585
0.870276 1.099011 2.323543
0.900814 1.141051 2.339801
0.932682 1.183528 2.360568
0.965805 1.226178 2.386047
1.000088 1.268693 2.416420
1.035414 1.310712 2.451845
